Ss1;Ss2;Ss3;Ss4;Ss5;Ss6;Ss7;Ss8;Ss9;Ss10;Ss11;Ss12;Ss13;Ss14;Ss15;Ss16;Ss17;Ss18;Ss19;Ss20;Ss21;Ss22;Ss23;Ss24;Ss25;Ss26;Ss27;Ss28;Ss29;Ss30;Ss31;Ss32;Ss33;Ss34;Ss35;Ss36;Ss37;Ss38;Ss39;Ss40;Ss41;Ss42;Ss43;Ss44;Ss45;Ss46;Ss47;Ss48;Ss49;Ss50;Ss51;Ss52;Ss53;Ss54;Ss55;Ss56;Ss57;Ss58;Ss59;Ss60;Ss61;Ss62;Ss63;Ss64;Ss65;Ss66;Ss67;Ss68;Ss69;Ss70;Ss71;Ss72;Ss73;Ss74;Ss75;Ss76;Ss77;Ss78;Ss79;Ss80;Ss81;Ss82;Ss83;Ss84;Ss85;Ss86;Ss87;Ss88;Ss89;Ss90;Ss91;Ss92;Ss93;Ss94;Ss95;Ss96;Ss97;Ss98;Ss99;Ss100;Ss101;Ss102;Ss103;Ss104;Ss105;Ss106;Ss107;Ss108;Ss109;Ss110;Ss111;Ss112;Ss113;Ss114;Ss115;Ss116;Ss117;Ss118;Ss119;Ss120;Ss121;Ss122;Ss123;Ss124;Ss125;Ss126;Ss127;Ss128;Ss129;Ss130;Ss131;Ss132;Ss133;Ss134;Ss135;Ss136;Ss137;Ss138;Ss139
1;0;1;0;1;1;0;0;0;1;0;1;1;1;0;1;1;1;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;1;0;1;0;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;1;1;0;1;0;1;0;0;1;1;1;1;0;1;0;1;0;1;1;0;1;0;0;1;0;0;0
1;1;1;0;1;1;0;0;0;1;0;1;0;1;1;1;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;1;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;1;1;0;1;0;1;1;0;0;1;1;0;0;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;1;1;1;1;0;1;0;1;0;1;0;0;1;1;0;1;0;0;1
1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;0;1;0;1;1;1;1;0;1;1;1;0;0;1;1;0;1;1;1;1;1;1;1;0
0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0
1;0;1;0;1;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;1
1;1;1;0;1;1;0;0;0;1;1;1;1;1;0;1;1;0;1;0;1;1;1;1;1;1;0;0;1;1;1;0;1;0;1;1;0;0;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;0;1;1;1;1;0;1;1;0;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0
0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;1;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;1;1;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;1;0;1;0;1;1;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;1;0;1;1;1;0;0;0;1;1;0;1;1;0;1;0;0;0;0;0;0;1;1;1;0
0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;1;0
1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1;1;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;1;0;1;1;1;1;1;1;0;1;0;0;1;1;0;0;0;1;0
0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;1;1;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;1;0;1;1;0;0
1;1;1;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;1;0;1;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;1;0;1;1;1;0;0;1;0;0;1;1;1;1
1;0;1;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0;0;1;0;0;1;1;0;0
1;1;1;0;1;1;1;1;0;1;1;0;1;0;0;0;1;1;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;1;1;0;1;1;1;1;1;0;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;1;1;1;1;0;1;1;1;1;0;1;0;1;0;0;0;1;1;0;1;1;1;0;0;0;0;1;0;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;1;1;0;0;1;0;0;0;1;0;0;0;1;1;1;0;1;0;1;1;1;0;0;1;0;0;1;1;0;0
1;0;1;0;1;0;0;1;0;0;0;0;1;0;1;1;1;0;0;1;1;0;0;0;0;1;1;1;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;1;1;0;0;0;1;1;1;0;1;1;1;0;0;1;0;1;0;0;1;1;0;1;1;1;1;0;1;0;1;1;0;1;0;1;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;1;0;1;0;1;0;1;1;0;1;0;1;1;0;1;0;0;0;0;1;1;0;1;1;0;0;0;1;1;1;0;1;0;1;1;1;0;0;1;0;0;1;1;0;1
1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;1;0;1;1;1;0;1;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;1;0;1;1;0;1;0;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;1;1;1;0;0;1;0;0;1;1;0;0
1;0;0;0;1;0;0;0;1;0;0;1;1;0;0;1;1;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;1;0;0;1;0;1;0;1;0;1;0;1;0;0;1;0;1;1;1;0;0;0;1;1;1;0;0;0;0;0;1;0;1;0;1;0;1;1;1;0;1;1;0;0;1;1;0;0
1;1;0;0;0;0;0;1;0;1;1;0;1;0;1;1;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1;1;1;0;1;0;0;0;1;1;0;1;0;0;1;0;0;0;1;0;0;0;1;0;1;1;1;1;1;1;1;1;1;1;0;0;1;0;1;0;1;0;1;0;1;0;1;1;0;0;1;0;0;0;1;1;1;0;1;0;1;1;0;0;0;0;1;0;1;1;0;0;0;1;1;0;0;1;1;0;0;1;1;1;1;1;0;1;0;1;0;0;1;0;0;1;1;0;0
1;0;0;0;1;0;0;1;0;1;0;0;1;0;1;0;1;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;1;0;1;1;1;0;1;1;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;1;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;0;0;1;1;1;0;0;1;0;0;0;0;1;1;0;0;1;1;1;0;0;1;0;0;0;1;0;1;0;1;0;1;0;1;0;0;1;0;1;0;1;0;1
0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
1;0;0;0;1;1;1;1;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;0;1;1;0;1;0;1;0;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;0;0;0;1;1;1;1
1;1;0;1;0;1;0;1;0;1;0;1;0;0;0;1;0;1;0;0;1;0;1;0;1;1;0;0;0;1;0;1;1;1;0;1;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;0;0;0;1;0;0;0;1;0;1;1;1;0;0;0;1;1;1;1;1;0;0;1;1;1;0;0;0;0;0;1;0;0;1;1;1;1;0;1;1;0;0;1;0;0;1;0;0;0;1;1;1;0;0;0;1;0;0;0;1;1;0;0;0;1;1;1;1;0;1;0;1;1;1;0;1;1;1;0;1;0;1;0
1;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;1;1;1;0;1;0;1;0;1;0;0;1;0;1;1;0;0;0
1;0;1;0;1;1;0;0;0;1;0;1;1;1;0;1;1;0;0;0;0;1;0;0;0;1;1;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;1;1;1;1;0;0;1;1;0;0;0;1;0;0;0;1;0;0;1;1;1;0;0;0;1;0;0;0;1;0;0;1;1;0;1;1;0;0;0;0;1;0;0;1;1;0;1;1;0;0;0;1;1;0;1;1;1;0;1;1;0;1;1;1;0;0;1;0;0;1;0;0;1
1;1;1;0;1;0;0;0;0;1;0;1;1;0;1;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;1;0;0;0;0;1;1;0;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;1;0;1;0;1;0;1;1;0;0;1;1;0;0;1;0;0;1
1;0;0;0;1;1;0;0;0;0;0;1;1;0;1;1;0;1;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;1;1;0;1;1;0;0;1;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;1;1;1;1;0;1;1;0;1;0;0;0;0;0;1;1;0;1;0;1;0;0;0;1;1;1;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;1;0;1;0;0;1;1;1;1;0;0;0
1;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;1;0;1;0;1;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;1;1;1;0;0;0;0;0;1;0;1;0;1;0;1;1;1;0;1;1;0;0;1;0;0;0
1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;0;1;0;1;1;1;0;0;1;0;0;1;1;1;1
1;1;0;0;0;0;0;0;0;1;1;0;1;0;0;1;1;0;0;0;1;0;0;0;1;1;1;1;0;0;0;1;0;0;1;0;1;1;1;1;1;1;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;1;0;1;1;0;1;1;0;0;1;1;0;0;0;1;0;0;1;0;1;0;0;0;0;1;0;0;1;1;1;0;1;0;1;1;0;1;0;0;1;1;1;1;0;0;0;1;1;0;0;1;0;0;0;1;1;1;0;1;0;1;1;1;0;0;1;0;0;1;1;0;0
1;0;1;0;1;1;0;0;0;0;0;0;1;0;0;1;1;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1;0;0;1;1;0;0;0;1;1;0;0;0;0;1;0;1;1;0;0;0;1;1;1;1;1;1;1;1;0;1;0;0;1;0;1;0;1;0;0;0;0;0;1;1;0;1;1;0;0;1;0;0;0;1;1;1;0;1;0;1;1;0;1;0;0;0;1;0;1;0;0;1;1;1;0;0;1;0;0;0;1;1;1;0;1;0;1;1;1;1;1;1;0;0;1;1;0;0
1;0;1;0;1;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;1;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;1;1;0;0;1;0;1;0;0;0;1;1;1;1;1;0;0;0;0;1;0;0;1;1;0;0;1;1;0;1;1;0;0;0;0;1;0;1;1;1;0;1;0;1;0;0;0;0;0;1;1;0;0
1;0;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;1;1;1;0;1;0;0;1;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;1;0;0;1;1;1;1;1;0;0;0;0;1;1;1;1;1;1;0;1;1;0;0;1;1;0;0;1;1;1;0;1;0;1;0;0;0;0;1;1;1;1;1;0;0
1;1;1;0;1;1;0;1;0;1;0;1;1;0;0;1;1;0;0;0;1;0;0;0;1;1;1;1;0;0;1;0;0;0;0;0;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;0;1;0;1;0;1;1;0;1;0;0;1;1;1;1;1;1;1;0;1;1;1;1;1;0;0;0;0;0;0;1;0;0;1;0;1;1;0;1;0;0;1;0;1;1;0;0;1;0;1;1;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;1;0;0;0;1;0;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;0
1;1;1;0;1;1;0;0;0;1;1;0;1;0;0;1;1;1;0;1;1;0;0;0;0;1;1;1;0;0;1;0;0;0;1;0;1;1;1;0;1;1;0;1;1;0;0;0;1;1;1;0;1;0;1;0;0;0;0;1;0;0;1;1;1;1;1;1;1;1;0;1;1;1;0;0;1;1;0;0;0;1;1;0;1;0;1;1;0;0;1;1;0;0;1;1;1;0;1;1;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;0;1;1;0;1;0;1;0;1;1;1;0;1;1;1;0;0;1;0;1;0;1;1;0
