breakliking;code;curious;enjoychallenges;forthemoney;likeleast;likemost;liking;motivatefriends;motivateyn;seriously;time;trymybest;vpid;cid
94;SPKFEB;1;1;1;so many tasks;images;100;great images;1;0;30328;0;35;SPKFEB
50;IFLMNX;0;0;0;999;999;50;999;1;1;11819;0;36;IFLMNX
50;KODHVR;0;0;0;999;999;50;999;1;1;10428;0;38;KODHVR
50;EFQEDH;0;0;0;999;999;50;999;0;1;10953;0;39;EFQEDH
50;CVVNCY;0;0;0;a;a;50;a;1;1;10994;0;42;CVVNCY
0;ZLQGSR;0;0;1;4;6;0;vhbj;0;0;24735;0;45;ZLQGSR
80;RJTLUP;0;0;1;1;1;77;_;1;0;11101;0;47;RJTLUP
50;WQYKQD;0;0;0;999;999;50;999;1;1;9826;0;50;WQYKQD
100;HRLIKQ;1;1;1;Feeling rushed;Contemplating my answers;85;That this is a challenging and engaging experiment.;1;1;69473;1;51;HRLIKQ
100;OGXXXB;0;1;0;Some of it was the same;The breaks with the pictures.;66;If they are up for a challenge they should try this survey it really makes you think.;1;1;69594;1;56;OGXXXB
100;DZXULD;1;1;0;trying to separate logic from common sense;Imagining a lawyer as a life guard;100;You should check out the logic HIT;1;1;94244;1;54;DZXULD
65;PORDUM;1;1;1;It was a little long, 32 would have been a little more palatable;Good brain exercise;75;_;0;1;71231;1;79;PORDUM
22;ILNWZM;1;0;1;Too long;Thinking;16;NA;0;1;31162;1;70;ILNWZM
0;BFCTLQ;0;0;0;64 questions;it was challenging;32;_;0;1;34853;0;68;BFCTLQ
100;ZZLJEB;0;0;0;complexity;complexity lol;81;_;0;1;70332;0;53;ZZLJEB
31;OFPSFT;1;0;0;head now hurts thanks;To tricky;26;Not sure ;1;0;53477;0;87;OFPSFT
60;OCLXDQ;0;0;1;The scenarios made it difficult to focus. Maybe that was part of the experiment, but I would do it more as  a is sometimes b, b is never c. ;It was challenging, but I tried to answer as fast and accurately as possible.;29;I would if I had more knowledge on what this experiment was trying to accomplish.;0;0;147859;1;77;OCLXDQ
84;OOLGVK;0;0;0;it was a little repetitive;the questions;31;I wouldn t;0;0;76101;1;84;OOLGVK
87;WXMRAC;0;0;0;it has two premises;relaxation photos;100;try the survey, its very interesting;1;1;186522;0;60;WXMRAC
100;RXCLJA;0;1;1;I would ve liked to know what my score was overall.;I enjoyed how difficult it was to consider each pair of statements with one another.;84;_;0;1;201118;0;69;RXCLJA
18;XWKPYB;1;1;0;use of mind task;short break;100;it improve our reasoning power.;1;1;124675;1;73;XWKPYB
54;FHFQCN;0;0;0;took long time ;more choice ;100;very knowledgeable ;1;1;116951;0;90;FHFQCN
100;WFGTIP;0;0;0;nothing;it was very great;97;it was very great and knowledgeable.;1;1;62310;0;59;WFGTIP
75;GSFHJZ;0;0;0;54;12;74;_;0;0;57345;1;96;GSFHJZ
100;LSAVJB;1;1;0;There seemed to be multiple ways to answer the questions for some of them.;It was challenging and forced you to think of the best, logical answer.;100;Good luck  It s a challenging task that gets you thinking.;1;1;95559;1;85;LSAVJB
78;ILNGPU;0;0;0;The length of the survey;The analytics;87;_;0;1;61455;0;97;ILNGPU
78;SKLMFU;0;0;0;How nonsensical it all was;the pay;16;_;0;1;15362;0;103;SKLMFU
100;NZFTZX;1;1;0;nothing;everything;100;It was a very fun and worthwhile survey;1;1;64799;1;81;NZFTZX
80;QAJHLS;0;0;1;The length for the compensation;Not much...;17;you can make a buck here;1;1;47061;1;92;QAJHLS
59;DHWBLW;1;1;0;I did not think the breaks were necessary.;I enjoyed the challenge of thinking mentally.;93;I would suggest to my friends to try out an experiment to challenge their minds.;1;1;87180;0;89;DHWBLW
100;SJSNCL;1;1;0;I felt as if there was a time constraint    but the problems were very difficult.;The challenge.;86;_;0;1;86222;1;75;SJSNCL
50;HJLFWC;1;1;1;repetitive;good choices;71;You can get a dollar.;0;1;76415;1;91;HJLFWC
79;TZVVGL;1;0;0;all none combos;some some combos;24;_;0;1;73606;0;106;TZVVGL
41;TJLROQ;0;0;1;nothing;it was simple inputting my answers;88;it is fast and simple to do;1;1;48201;0;113;TJLROQ
75;CQHLRL;0;0;0;It was hard;It was a challenge;28;_;0;1;21560;0;98;CQHLRL
50;AEEMGE;0;0;0;I wanted to give multiple answers sometimes, when it was commutative;thinking about the logic;83;Help with some research;0;1;66919;0;105;AEEMGE
0;UNZTDR;1;1;1;The timing;Having to think through each problem.;73;Try some mind numbing execises to help prepare for the LSAT ;1;1;111840;1;83;UNZTDR
75;DDNYGP;0;1;0;The format for giving answers I was not as familiar with number keys as I am with home row;I haven t done anything in a test format for a long time;79;_;0;0;198810;0;94;DDNYGP
100;MUXPCH;0;0;0;complexity;challenge my intellect;81;It s really fun and expands your thinking;1;1;41839;0;104;MUXPCH
36;EOZIMP;0;0;0;Concentrating;concentrating;29;It s hard.;0;0;95052;1;95;EOZIMP
75;ZXHZPL;0;0;0;The total amount of time it takes to complete;The logical quizzes.;24;Want to test your logical reasoning ;1;1;45978;0;111;ZXHZPL
89;YVUGMK;0;1;0;tricky questions;tricky questions;84;interesting and tricky questions ;1;1;56737;1;100;YVUGMK
88;BBFJUU;1;1;0;repetitive;breaks inbetween;76;It s a serious mind worker.;1;1;52092;1;120;BBFJUU
0;MRYSWB;1;1;0;it was hard;it was new;27;Try it. Its interesting ;1;0;50727;1;134;MRYSWB
80;HZTPOX;1;1;0;the length;challenging ;81;it is an interesting experiment;1;1;84454;1;124;HZTPOX
89;JPXCCB;1;1;0;Sometimes frustrating;The simpler ones;80;Challenge yourself with this;1;1;57075;1;115;JPXCCB
81;DKPOBV;0;1;0;Analogies;Distinct;88;_;0;1;46531;0;131;DKPOBV
50;SLLJUA;1;1;0;Too many questions;Picturing Venn diagrams;72;_;0;1;70242;0;126;SLLJUA
100;IKRPHP;0;1;0;So many I could not see the connection.  Frustraiting ;That the task is done.;0;_;0;1;115147;1;99;IKRPHP
100;JYOXRB;0;0;0;relavant types;most of were good;100;it very intresting;1;1;157746;0;101;JYOXRB
8;QKWZVE;1;0;1;the pictures;thenumbering system;66;you get paid;1;1;51203;0;132;QKWZVE
65;ZQFMRZ;0;1;0;I almost figured out a pattern;challenge;96;challenge them to figure out the puzzle;1;0;91488;0;127;ZQFMRZ
100;IHBIUX;1;0;0;being told to keep my fingers on the keys. i was worried i d accidentally bump an answer before reading the question;the breaks;84;this is really simple, and you actually have to think and be involved so it isn t incredibly boring;1;1;102177;1;135;IHBIUX
56;SVXAQY;1;0;0;the questions feel repetitive;it went fast;53;n a;0;1;43351;0;141;SVXAQY
68;IIBMKM;1;1;0;Confused my brain;Made me think harder;88;Try your hand at deductive reasoning ;1;1;85559;1;121;IIBMKM
100;LSRKCR;0;0;0;needed more instruction;breaks;72;that it was tough but interesting;1;1;79282;0;130;LSRKCR
80;YOMJWI;0;1;1;It s kind of confusing;It forced me to use my brain;75;_;0;1;61571;1;138;YOMJWI
50;IITHNK;0;0;0;time pressure;the end;18;n a;0;1;53331;0;149;IITHNK
56;LUTTQW;0;0;0;nothing really to dislike, it was pretty interesting;That it moved smoothly and was well organized;89;Because it helps you think in different ways to reason;1;1;88002;0;139;LUTTQW
80;GYDEKW;0;0;0;hard to figure some out;challenging ;68;_;0;1;137998;0;128;GYDEKW
36;EMBMUO;0;0;1;not sure if I did good;good pay;40;i would not;0;1;62978;0;152;EMBMUO
100;XRURAU;0;0;0;nothing;nothing;100;_;0;1;26780;0;155;XRURAU
45;BABSBC;0;0;1;the difficulty;the end;35;_;0;1;94723;1;148;BABSBC
41;BMEPPF;0;0;0;it was underpaid;It was easy except I accidentally pushed a button on your first attention check.;82;This guy doesn t pay enough for your time, if he paid fairly you should do it.;0;1;73635;0;164;BMEPPF
75;XAFJAH;1;0;0;getting my mind to stop thinking logic;loved the way it made me think;73;easy quiz to stimulate your brain ;1;0;94044;0;142;XAFJAH
100;QKAHZX;1;1;0;having to scratch my nose and keeping my hands on the keys;the questions were interesting;94;that they should check out this cool reasoning experiment;1;1;116658;1;143;QKAHZX
52;WPNNCK;0;0;0;nothing;Analyzing the statements;100;It s a great way to practice analytical thinking;1;1;61893;0;159;WPNNCK
36;FLGEMX;0;1;0;I thought it was difficult and long;I thought it was challenging;27;_;0;1;30688;0;170;FLGEMX
78;PWHNDI;0;0;0;long;got me to think;69;brain exercise for the day, it s fun;1;1;55670;0;140;PWHNDI
85;TPWJEW;0;0;0;How long it took;Made u think;13;If you want to try something challenging try this;0;1;84841;0;136;TPWJEW
12;BZPRKK;1;0;0;It only is for a dollar;Challenge, want to know my score;84;Practice for the GRE;1;1;36517;0;174;BZPRKK
86;KOZHPC;0;0;0;Uncertainty;Different versions similar scenario;81;Experiment really makes you rethink your first instinct;1;1;70529;0;167;KOZHPC
67;VPVQXK;0;0;0;repetitious;pictures;75;test your logic;1;1;157627;0;158;VPVQXK
51;RKVMFG;1;1;1;made me think;the amount of questions;75;_;0;1;57438;1;176;RKVMFG
100;XCBWDK;0;0;0;i was always thinking that I don t have a lot of time and have to do fast, sometimes I could take more time to think;it makes your brain concentrate and think, challenging;91;try this interesting task;1;1;113975;0;169;XCBWDK
29;LWEGOF;0;0;1;The breaks;Problem solving;86;_;0;0;56257;0;178;LWEGOF
100;YNNIVS;1;1;0;Nothing, this was fun ;The short breaks in between long tasks is beneficial, although I didn t need them;100;Check out this fun game experiment ;1;1;81234;1;191;YNNIVS
100;SZAYRH;1;0;0;The challenging thoughts;The pictures;12;_;0;1;20716;1;177;SZAYRH
100;SZAYRH;1;0;0;The challenging thoughts;The pictures;12;_;0;1;21339;1;177;SZAYRH
100;JGXEXS;0;0;0;The math questions were slightly blocked by the bottom row of text.;I didn t have to use the mouse which made things faster.;89;This task is simple and quick.;1;1;92397;0;187;JGXEXS
72;SPLZWN;0;0;0;Method for answering;The challenge;77;It is fun and interesting;1;1;29762;0;197;SPLZWN
100;IQHHAY;0;1;0;Putting aside preconceived notions;Challenging for the mind;77;I would tell them it will make your brain hurt after.;1;0;69449;0;194;IQHHAY
25;LFJNIK;1;1;0;The lack of feedback.;The ability to key in answers instead of clicking.;70;N A;0;1;58384;1;186;LFJNIK
26;RLTMKE;1;1;0;too many choices;The challenge of having to work the word problems out.  ;77;It s a great mental exercise.;1;1;77225;0;181;RLTMKE
86;RIWQNE;1;1;0;Nothing;Challenge;89;Interesting to do;0;1;45974;1;185;RIWQNE
0;SQDQLH;0;0;0;I tried to hurry, worried I was being times;stupid questions;56;_;0;1;64732;0;211;SQDQLH
0;SQDQLH;0;0;0;I tried to hurry, worried I was being times;stupid questions;56;_;0;1;65561;0;211;SQDQLH
100;QDBLQZ;1;1;0;Nothing;I like the comparisons.;100;I would invite them to take up the challenge.;1;1;60140;1;207;QDBLQZ
70;AENXHD;0;0;0;yes;yes;93;yes;1;1;89546;0;199;AENXHD
96;VDVRAB;0;0;0;it was monotonous;it was intruiging;81;_;0;1;57322;0;196;VDVRAB
3;LLURZV;1;1;0;I didn t think the breaks were necessary;It made me think;66;N A;0;1;53201;1;192;LLURZV
100;SJCAPM;0;0;0;keyboard shortcuts;breaks;75;_;0;1;41207;0;216;SJCAPM
100;ICVVRF;1;1;1;unsure;unsure;100;unsure;1;1;57711;1;220;ICVVRF
100;GLBAWD;1;1;1;unsure;unsure;100;unsure;1;1;24058;1;217;GLBAWD
50;TRNTKP;0;0;0;It seemed there were multiple choices that could be true at times;it was challenging;81;Give this a try, it ll make you think;1;1;83464;0;195;TRNTKP
0;QSIJMJ;0;0;0;the breaks;payment;0;_;0;0;27440;1;203;QSIJMJ
100;WXBNDE;0;0;0;it was repetative;it made me think logically;75;_;0;1;42644;0;200;WXBNDE
0;LGCSAB;0;0;0;how slowly the questions popped up;it was engaging;100;It is interesting and really makes you think;1;1;49366;0;229;LGCSAB
0;LGCSAB;0;0;0;how slowly the questions popped up;it was engaging;100;It is interesting and really makes you think;1;1;45535;0;229;LGCSAB
90;FVTYJC;0;0;0;keeping my fingers on the buttons, I pressed the wrong thing for 1 answer;The challenge of figuring out the logic problem.;88;I would tell them it is a lot of fun and challenges your thinking;1;1;72597;0;210;FVTYJC
76;KZZDMK;0;0;0;i think is to select betwen much options;the form to analize all the options;100;its a excelnt survey to think;1;0;102385;0;243;KZZDMK
100;PNUVQJ;1;0;0;layout;fair breaks;79;_;0;1;31045;1;250;PNUVQJ
76;AKQJTW;0;0;0;questions;layout;84;_;0;1;16649;0;252;AKQJTW
100;NGCQPX;1;1;1;unsure;unsure;100;unsure;1;1;55535;1;253;NGCQPX
100;JOTCQK;1;1;1;unsure;unsure;100;unsure;1;1;93913;1;245;JOTCQK
65;PBWRQT;0;0;0;No confidence in my answers ;Not knowing the right answer.;32;Take if you want to feel challenged.;0;0;76559;1;233;PBWRQT
100;NXXIDY;0;0;0;Too many examples;Critical thinking;90;NA;0;1;23052;0;214;NXXIDY
34;UIDHIL;0;0;0;getting things wrong;the challenge;75;_;0;1;69048;0;236;UIDHIL
93;ELDKGP;0;0;1;too many choices to select;it made you think a little bit.;24;_;0;0;34365;0;274;ELDKGP
21;HQDOMV;0;0;0;the breaks;the choices;81;This was an interesting experiment that made you think.;1;0;78007;1;278;HQDOMV
33;WMDDWE;0;1;1;Too many questions, it got tiring;I like logic problems;72;n a   I don t think my friends would enjoy this experiment. ;0;1;47714;1;246;WMDDWE
100;LIQHYB;0;0;0;nothing;easy instructions;100;_;0;1;47076;0;287;LIQHYB
100;SDBUMP;0;0;0;made my brain work hard;challenging;38;This is challenging and can exercise your brain;1;1;57783;0;242;SDBUMP
18;JDTDOT;1;1;0;It was challenging;It stretched the brain;77;_;0;1;33465;1;277;JDTDOT
69;GOAMTM;1;1;0;nothing;it was motivational ;62;try this it fun ;1;1;99077;1;307;GOAMTM
0;FLCVRO;0;0;0;The number of options;There WEREN T more questions;19;_;0;1;58661;0;265;FLCVRO
5;FUGMIL;0;0;0;very hard;made you think;63;challenging mind thinking;1;1;97582;0;276;FUGMIL
77;IXSQBQ;0;0;0;too much thinking;interesting;25;do this survey, it is hard.;1;0;64781;1;230;IXSQBQ
100;KDQGVQ;0;0;0;nothing really;the breaks;94;_;0;0;33535;0;259;KDQGVQ
74;LJZYWV;0;0;0;too many questions;it was different;64;this experiment is interesting;1;1;74263;1;271;LJZYWV
100;AYYXBG;0;0;0;It was a little confusing;It was a good experiment overall;64;go give it  a shot its a good experiment;1;1;86338;0;303;AYYXBG
83;SBTQRW;0;0;1;The amount of question;The pictures;14;RUN  ;0;0;42083;0;279;SBTQRW
90;OGTZJV;0;0;0;took a little bit to learn the layout;interesting concept to repeat the logic in different ways to get different answers;78;_;0;1;64722;0;300;OGTZJV
63;LOSWCB;1;1;1;Analyzing each statement;Easy input;66;_;0;1;74104;1;312;LOSWCB
96;EMRLAR;1;1;1;nothing;liked how you only clicked number or spacebar to pick answer;93;_;0;1;86732;1;268;EMRLAR
100;SJRYZM;0;0;0;confusing;made you think;6;_;0;1;31235;0;320;SJRYZM
45;WANZEQ;1;0;0;repartition;problem solvinf;23;try it;1;0;67299;0;219;WANZEQ
64;OUCALY;0;0;0;Repetition;Logical thinking;71;Go on.;1;1;24206;0;288;OUCALY
50;PPCBZD;0;0;1;Took too much thinking;It was easy to read;0;n a;0;0;34924;0;340;PPCBZD
50;HZZXGF;0;0;1;so many answers;questions;88;do this thing;1;0;141421;0;318;HZZXGF
100;TXSIBM;0;0;0;Really complex;Very challenging;81;If you would like a challenge, this is the experiment to try.;1;1;88059;0;281;TXSIBM
100;TTZLKA;0;0;0;Nothing;IT was nice;100;Come and do a thinking assignment;1;1;112985;0;272;TTZLKA
72;JYHGRH;1;1;0;Not knowing when I was right;Stimulation;55;Helps get you thinking in the morning.;1;1;65367;1;338;JYHGRH
90;MHBHRY;1;1;0;A little long;Logic problems;73;You get paid to solve problems like in our philosophy class;1;1;51151;1;331;MHBHRY
85;QEDAQC;0;0;1;everything;nothing;13;_;0;0;22618;0;234;QEDAQC
85;GQVPGX;0;0;0;it was difficult;the breaks;70;_;0;1;58615;0;329;GQVPGX
0;QIDLZO;1;1;1;a little long and tedious, even though it was fun;novel idea;90;it s different from a lot of stuff on mturk;1;1;45020;1;343;QIDLZO
97;YUOZVB;0;0;0;they were very confusing for someone with thyrodism, my old mind gets foggy sometimes;the breaks;6;I would say that you need a lot of concentration and perhps this is something for someone much younger than my age.;0;0;87390;1;326;YUOZVB
77;EVXJHL;0;0;0;nothing;nothin;62;_;0;1;11728;0;341;EVXJHL
98;ZOCJUQ;0;0;1;wording;the challenge;75;_;0;1;49200;1;330;ZOCJUQ
27;XVXBPB;0;0;1;ALL THE QUETIONS;IT WENT FAST;31;_;0;1;85872;0;356;XVXBPB
84;TTOIVF;0;0;0;Comparing the 2 premises;multiple choices;33;_;0;0;53002;1;325;TTOIVF
0;UFAXGM;0;0;0;difficult choices;different scenarios;65;_;0;1;49448;1;380;UFAXGM
11;VQMSLO;0;0;0;It was repetetive;It made me alert;84;It will help you wake up;1;1;41789;0;358;VQMSLO
67;VJHWYK;0;0;0;nothing particular;nothing particular;0;_;0;1;64252;0;311;VJHWYK
72;RBMPFK;0;0;0;inconclusive problems;problem solving;64;give it a try;1;1;80483;0;359;RBMPFK
90;WXWCJZ;1;0;0;The length;I like logic questions;63;_;0;1;50928;0;339;WXWCJZ
86;ETKRLL;0;0;1;Too many;Neat premise;17;_;0;0;19636;0;383;ETKRLL
50;SZHNZT;0;0;0;confusing;nice images;36;_;0;1;28153;0;369;SZHNZT
31;TXTFLX;0;0;1;monotony;pay;25;it s easy, and it pays well;1;0;42148;0;357;TXTFLX
100;MNWGCV;0;0;0;uning number keys vs clicking with my mouse;the pace ;89;_;0;1;52989;0;367;MNWGCV
19;QOWEKP;1;1;1;more questions;very much thinking;82;good for brain;1;1;112423;1;306;QOWEKP
100;KKCVGH;0;0;1;Its length.;Its reward.;89;Hey, wanna take a quiz for money ;1;0;62190;0;370;KKCVGH
100;ROPYFX;0;0;0;Trying to review the two senteneces, some were tricky;The challenge. ;100;You have to try this task, it is challenging but fun  ;1;1;105389;0;333;ROPYFX
25;NXVYJP;0;0;1;Too many possible answers.;nothing;12;_;0;0;48001;0;385;NXVYJP
72;BALKVO;0;1;0;it was ok;challenge;69;give this a try it will work your brain;1;0;47180;0;362;BALKVO
72;BALKVO;0;1;0;it was ok;challenge;69;give this a try it will work your brain;1;0;47137;0;362;BALKVO
50;RAXUPV;0;0;0;length;interest;64;na;0;1;43644;0;360;RAXUPV
96;PQPLWC;1;1;1;I had trouble making logical sense of the sentances since they were not normal;Trying to think through it;17;_;0;1;56669;1;355;PQPLWC
63;WMXPPG;0;0;0;too much thinking ;it was different;29;_;0;0;51143;1;361;WMXPPG
59;NOEFZG;0;0;1;the questions;nothing;8;_;0;0;224337;0;408;NOEFZG
0;HIXVWP;0;0;0;nothing;challenging;86;_;0;1;64557;1;396;HIXVWP
100;YYPUNF;0;0;0;a little long;different;86;easy experiment;1;1;37341;0;410;YYPUNF
84;OUGSBA;0;0;1;the difficulty of the questions;the breaks;8;_;0;1;85818;1;376;OUGSBA
75;NRUCLE;0;0;0;EVERYTHING WAS FINE;EVERYTHING;72;_;0;1;49262;0;373;NRUCLE
19;SORCMA;0;0;0;I had to think alot.;This was a challenge.;99;Try this you may like it.;1;1;54306;0;372;SORCMA
67;JEDLIX;0;1;1;I had no idea whether I was right.;Thinking through the questions.;37;Hey, friends, you should do this mind test.;0;1;53873;0;394;JEDLIX
100;SMKISI;1;1;1;the text of the math problems was difficult to read;challenging;65;not too hard to do but challenging;0;1;559082;1;382;SMKISI
100;MDXJSL;0;0;0;The questions had many correct answers;The challenge of the question.;60;Take a challenging survey to earn money;0;1;111876;0;377;MDXJSL
100;ITMDFP;0;0;0;feeling confused  haha ;that it made me think ;100;That they should try it to see how much their brains still work.;1;1;43931;0;417;ITMDFP
69;TFLUJD;0;1;0;breaks;lenght;100;changeling questions;1;0;63677;0;420;TFLUJD
57;FKPBFD;0;0;0;the sheer amount of items;nothing;22;_;0;1;29260;1;431;FKPBFD
67;GRSYSM;1;1;0;trying to go fast;challenging;94;_;0;1;40439;1;423;GRSYSM
84;QQBOGG;1;0;0;I always feel unsure of myself.;It was challenging.;53;Not sure.;0;1;67847;1;379;QQBOGG
79;JMAMNC;0;0;0;it was confusing;choice options were presented to you;14;try this challenging survey;1;1;107597;1;386;JMAMNC
100;OEZPBB;1;0;1;I suppose the amount of problems. Kind of wears you down. 64 exercises of comparing;Trying to figure out the best response in the least amount of time. I like brain challenges;69;_;0;1;93762;0;399;OEZPBB
100;CADEHQ;1;1;0;nonthing;the puzzles;88;You should try an experiment where you try to figure out the logical outcome from 2 statements.;1;1;98995;1;392;CADEHQ
94;LOIAQP;0;0;0;It seemed very repetitive;That it didn t take too long;63;Try this experiment it ll get your brain working.;0;1;71383;0;389;LOIAQP
75;QMVRLD;0;1;0;I wasn t sure if there was supposed to be an answer, or if the statements were random.;The pictures of the mountains;25;_;0;1;69315;0;416;QMVRLD
100;BHDKKC;0;0;0;None;None;79;_;0;1;24152;0;433;BHDKKC
100;XMDZGW;1;1;0;The number of problems;That I really had to think about each answer;90;_;0;1;40596;1;424;XMDZGW
100;PPVUIH;0;1;0;it took awhile;it was very challenging ;100;you should try it it will really make you think;1;1;40672;0;429;PPVUIH
50;VEGYHD;0;0;0;nothing;questions;65;_;0;1;49099;0;426;VEGYHD
83;YMMTRS;0;1;0;length;logic problems;99;It was fun  ;1;0;49027;0;401;YMMTRS
0;LNEPAD;0;1;0;n a;it was fun and thought provoking ;100;give it a try ;1;0;33945;0;463;LNEPAD
100;YCODNU;0;0;0;It was kinda hard.;I liked the challenge.;41;It s fun ;1;1;46877;0;432;YCODNU
50;YWQWSG;0;1;0;I didn t like having to answer quickly, I felt like I needed to think through. ;The format was easy to follow;86;This is great way to see how you think, whether in positives or negatives. ;1;1;95009;0;421;YWQWSG
71;VGYRLT;0;0;0;none;none;84;_;0;1;42767;0;374;VGYRLT
100;NDDSFZ;0;0;0;using the keyboard;the breaks;27;I wouldn t;0;1;54699;0;447;NDDSFZ
76;TVBEHJ;1;1;0;N A;It was difficult.;100;This logic problem will make you really think.;1;1;130654;1;400;TVBEHJ
85;HACWKM;0;0;0;made my brain tired;something to think about;8;n a;0;1;78338;0;418;HACWKM
76;SEDKIH;1;1;0;the 3rd picture;all of it ;100;it is fun;0;1;85126;1;419;SEDKIH
100;XHYWCV;0;0;0;It takes a long time;Thinking;80;Take this cool survey that will make you think;0;1;78894;0;395;XHYWCV
0;FKIPGB;0;0;0;sometimes there were two correct answers  at least I think  and I could only select one   it was also too long;I like logic puzzles;81;I wouldn t like to;0;1;95414;0;437;FKIPGB
81;JBHTQK;0;1;0;I don t get logic problems;Keyboard entry of answers;41;Logic problem quiz for a dollar;1;1;78207;1;352;JBHTQK
97;WKMESW;0;0;0;repetition;interesting;76;_;0;1;53035;0;452;WKMESW
100;SJOAGO;1;0;0;Questions seemed to get repetitive;It was not like any experiment I ve participated in before.;87;_;1;0;67334;1;457;SJOAGO
55;YBZPJO;0;0;1;Got bored;Trying to understand the logic;86;It s a good challenge;1;0;73694;0;462;YBZPJO
100;XOFIJR;1;1;0;It would ve been nice if there were more breaks  I got a little confused sometimes  and  my brain felt jumbled.;The challenge;69;This was fun ;1;1;41692;1;381;XOFIJR
26;XNJQDW;0;1;0;The breaks made it hard to get momentum;The challenge was interesting;77;It s a different way of thinking about problem solving;0;1;43280;1;459;XNJQDW
95;DBHHZZ;0;0;0;The length;It really made you think about how you  associate things.;82;_;0;0;57889;1;371;DBHHZZ
100;PTZFAW;0;0;0;some confusing sentence;Pictures in between;100;Differrent type of survey that is interesting.;1;1;86450;0;465;PTZFAW
63;NJKYJD;1;1;0;I m not good at these  if, then  scenarios so it really made my brain hurt      ;It made me think and was a challenge.;36;If you want a mental challenge, 64 items long, try it ;0;1;140239;1;438;NJKYJD
67;CQNXQY;0;0;0;nothing;fast;78;it was smooth sailing ;1;1;53898;0;477;CQNXQY
87;XZPGNW;1;1;1;too many questions;it really made me think;63;_;0;1;65144;1;404;XZPGNW
15;EZJKNF;0;0;0;The amount of trials and that it made me think.;The easy clicking to answer questions.;8;_;0;1;45167;1;472;EZJKNF
100;ULIGSX;0;0;0;number of conclusions;the challenge;100;would you like taking part of a questionaire and give fun responses ;1;0;285237;1;458;ULIGSX
85;APUJKV;0;0;0;Too long, didn t pay enough for the time needed;Interesting questions;86;_;0;1;35329;0;474;APUJKV
85;APUJKV;0;0;0;Too long, didn t pay enough for the time needed;Interesting questions;86;_;0;1;35289;0;474;APUJKV
66;SBFRTB;0;0;0;I DIDN T FEEL I COULD TAKE AS LONG AS I WANTED TO ANSWER. I FELT TIME PRESSURE BECAUSE OF THE INSTRUCTIONS TO GO AS FAST AS I COULD.;IT MADE ME THINK AND USE MY MIND.;100;IT IS A GREAT MIND EXERCISE AND LOTS OF FUN.;1;1;97516;0;446;SBFRTB
50;EXECYX;0;1;0;Could be answered many ways;The lovely photos;85;Challenge yourself ;1;1;65771;1;466;EXECYX
10;GONGAZ;0;0;0;It was too hard to imagine. Didn t always make sense. ;I like having to think.;86;See if you can beat me in this  shouldnt be hard to .;1;0;86659;1;435;GONGAZ
20;KIJEAJ;0;0;0;trying to figure out by reasoning;I really didn t like it;7;I wouldn t tell them about it;0;1;51207;0;479;KIJEAJ
66;ZFQYGF;0;0;0;nothing;figuring it all out;100;It s a lot of fun and it s interesting.;1;1;43315;0;483;ZFQYGF
49;DGGAZF;0;0;0;how long it took;I don t know ;23;_;0;0;104620;1;480;DGGAZF
100;HSXVVH;0;0;0;N A;The thought process;100;Go test your brain ;1;1;31630;0;484;HSXVVH
100;EWDVGY;0;0;0;repetitiveness;simpicity;68;come get a free dollar;1;1;64714;0;469;EWDVGY
92;PUSJMH;0;0;0;Repetative;Quick;70;Yo check out the survey;1;1;41783;0;486;PUSJMH
100;LYACUF;1;1;0;There was no practice with feedback.;the count at the top of the page;96;_;0;1;50669;1;488;LYACUF
64;PMESXV;0;0;1;Testing logic reasoning.;It was different than most HITs I do.;18;_;0;1;58064;1;490;PMESXV
100;IJATVV;0;0;0;difficulty;breaks;19;_;0;1;58682;0;497;IJATVV
55;OVTUZX;0;0;1;the questions;the money;42;it pays money;1;1;34362;0;501;OVTUZX
